animal_ID;location;season_collected;age_cat;sex;cortisol_hair;latitude;longitude;cortisol_feces
MX99;Cambridge Bay;winter;adult;male;8.925;62.09;104.04;25.22
MX100;Cambridge Bay;winter;adult;female;8.53;69.2;105;15.57
MX101;Cambridge Bay;winter;adult;male;8.28;69.2;106.1;16.22
MX102;Cambridge Bay;winter;yearling;male;7.9;68.57;105.15;29.76
MX103;Cambridge Bay;winter;adult;male;5.12;69;105;12.35
MX104;Cambridge Bay;winter;adult;male;9.17;69.48;106.15;35.31
MX105;Cambridge Bay;winter;adult;male;8.44;69.42;103.16;30.23
MX106;Cambridge Bay;winter;adult;male;14.25;69.2;105.5;42.51
MX107;Cambridge Bay;winter;yearling;male;12.25;69.1;105.1;37.89
MX108;Cambridge Bay;winter;adult;male;15.11;69.44;103.15;32.09
MX109;Cambridge Bay;winter;adult;male;14.82;68.9;102.8;31.78
MX110;Cambridge Bay;winter;adult;male;14.56;69.25;105.1;37.14
MX111;Cambridge Bay;winter;adult;female;13.9;69.2;104.5;28.67
MX112;Cambridge Bay;winter;adult;male;10.4;69.4;104.5;31.51
MX113;Cambridge Bay;winter;yearling;female;17.02;69.2;104.5;47.87
MX114;Kugluktuk;winter;adult;female;9.25;67.95;116.53;24.2234
MX115;Kugluktuk;winter;adult;female;12.94;68.62;112.69;35.7252
MX116;Kugluktuk;winter;adult;female;9.07;67.73;114.75;15.9728
MX117;Kugluktuk;winter;adult;female;10.11;67.75;114.99;27.934
MX118;Kugluktuk;winter;adult;female;9.85;67.38;115.23;21.4832
MX119;Kugluktuk;winter;yearling;male;5.55;67.75;112.28;14.7568
MX120;Kugluktuk;winter;yearling;male;8.19;67.31;112.47;27.985
MX121;Kugluktuk;winter;adult;female;6.36;67.51;115.72;36.8614
MX122;Kugluktuk;winter;adult;female;3.22;67.23;115.14;19.04
MX123;Kugluktuk;winter;adult;female;2.902656;67.28;114.4;15.8476
MX124;Kugluktuk;winter;yearling;female;5.45;67.4;114.3;32.2916
MX125;Kugluktuk;winter;adult;female;5.56;67.5;113.6;18.968
MX126;Kugluktuk;winter;yearling;female;9.12;67.45;113.8;26.8534
MX127;Kugluktuk;winter;yearling;male;12.43;67.33;114.2;37.2904
MX128;Kugluktuk;winter;adult;male;6.84595;67.31;115.08;18.2128
MX129;Kugluktuk;winter;adult;male;14.82;67.22;114.4;42.094
MX130;Kugluktuk;winter;adult;male;3.936038;67.403888;115.157;13.42
MX131;Kugluktuk;winter;adult;female;10.98;67.493888;114.157;27.09
MX132;Kugluktuk;winter;adult;female;4.03;67.403888;115.157;12.89
MX133;Kugluktuk;winter;adult;female;7.01;67.423888;115.557;21.67
MX134;Kugluktuk;winter;adult;female;5.85;67.403888;115.357;18.9
MX135;Kugluktuk;winter;adult;male;16.9;67.45;115.16;45.82
MX136;Kugluktuk;winter;adult;female;36.835;67.22;112.4;46.7
MX137;Kugluktuk;winter;yearling;male;5.59;67.4;113.4;26.61
MX138;Cambridge Bay;summer;adult;male;7.04;69.44;108.708;16.78
MX139;Cambridge Bay;summer;adult;male;4.89620853;69.34;108.11;22.34
MX140;Cambridge Bay;summer;adult;male;7.46;69.55;108.25;27.89
MX141;Cambridge Bay;summer;yearling;male;2.63;69.511;108.9;14.86
MX142;Cambridge Bay;summer;adult;male;9.68;69.86;106.4166;36.90
MX143;Cambridge Bay;summer;adult;female;7.63;70.08;109.15;25.81
MX144;Cambridge Bay;summer;adult;male;9.15;70.1077;109.06;34.57
MX145;Cambridge Bay;summer;yearling;female;1.51495274;69.16;104.4;11.35
MX146;Cambridge Bay;summer;adult;male;7.05;69.22;104.23;21.87
MX147;Cambridge Bay;summer;adult;male;11.45;70.0166;107.283;41.89
MX148;Cambridge Bay;summer;adult;male;4.65213408;70.0166;107.283;16.76
MX149;Cambridge Bay;summer;adult;male;4.72;69.856;106.052;15.68
MX150;Kugluktuk;summer;adult;female;2.78;67.23;112.6;21.45
MX151;Kugluktuk;summer;adult;male;9.78;67.43;113.4;24.13
MX152;Kugluktuk;summer;yearling;female;13.45;67.3;115.15;43.24
MX153;Kugluktuk;summer;adult;male;5.46;67.31;114.8;17.55
MX154;Kugluktuk;summer;yearling;male;8.97;67.45;115.12;19.81
MX155;Kugluktuk;summer;adult;female;7.71;67.22;113.4;22.56
MX156;Cambridge Bay;fall;adult;male;7.51;68.9158;103.2666;16.19
MX157;Cambridge Bay;fall;adult;male;6.67;69.408;106.366;21.24
MX158;Cambridge Bay;fall;yearling;male;10.6;68.9325;104.3745;32.35
MX159;Cambridge Bay;fall;adult;male;7.84;68.9325;104.3745;17.87
MX160;Cambridge Bay;fall;adult;male;8.43;68.9325;104.3745;16.56
MX161;Cambridge Bay;fall;yearling;female;10.21;68.9158;103.2666;25.65
MX162;Cambridge Bay;fall;adult;male;12.21;69.18925;107.29688;32.45
MX163;Cambridge Bay;fall;adult;male;13.12;69.18925;107.29688;29.75
MX164;Cambridge Bay;fall;adult;female;7.21;69.24063;105.732; 25.64
MX165;Cambridge Bay;fall;adult;male;12.55;69.3808;106.2779;31.05
MX166;Cambridge Bay;fall;adult;male;8.38;69.3808;106.2779;38.24
MX167;Kugluktuk;fall;adult;female;8.26;67.49;113.9;19.43
MX168;Kugluktuk;fall;yearling;female;4.78;67.35;114.1;19.74
MX169;Kugluktuk;fall;yearling;female;12.42;67.45;114.23;20.86
MX170;Kugluktuk;fall;adult;female;6.54;67.23;113.99;24.35
MX171;Kugluktuk;fall;yearling;male;4.59;67.37;114.25;16.75
MX172;Kugluktuk;fall;yearling;female;12.78;67.28;114.23;42.29
